Player,Team,Mat,Runs,Wkts,Econ
Fazalhaq Farooqi ,AFG,7,149,16,6.38
Arshdeep Singh ,IND,6,178,15,7.41
Rashid Khan ,AFG,7,171,14,6.1
Rishad Hossain ,BAN,7,194,14,7.76
Naveen-ul-Haq ,AFG,7,145,13,6.12
AS Joseph ,WI,7,177,13,7.22
A Zampa ,AUS,7,187,13,6.67
JJ Bumrah ,IND,6,94,11,4.08
AD Russell ,WI,7,141,11,6.99
Tanzim Hasan Sakib ,BAN,7,149,11,6.2
A Nortje ,SA,7,168,11,6
K Rabada ,SA,7,145,10,6.04
MP Stoinis ,AUS,7,151,10,8.88
TA Boult ,NZ,4,59,9,3.68
AJ Hosein ,WI,7,141,9,5.64
PJ Cummins ,AUS,5,144,9,7.57
KA Maharaj ,SA,6,146,9,6.08
JC Archer ,ENG,7,157,9,7.02
AU Rashid ,ENG,7,161,9,6.7
N Thushara ,SL,3,60,8,5.62
T Shamsi ,SA,3,96,8,8
Taskin Ahmed ,BAN,6,137,8,6.42
Mustafizur Rahman ,BAN,7,142,8,5.46
G Motie ,WI,7,149,8,7.09
HH Pandya ,IND,6,157,8,7.47
TG Southee ,NZ,3,36,7,3
Gulbadin Naib ,AFG,7,39,7,4.87
LH Ferguson ,NZ,4,64,7,4
Mohammad Amir ,PAK,4,72,7,4.5
Kuldeep Yadav ,IND,3,75,7,6.25
RL Chase ,WI,6,80,7,5.33
CJ Jordan ,ENG,4,97,7,8.95
Haris Rauf ,PAK,4,101,7,6.73
R Trumpelmann ,NAM,4,107,7,8.91
LV van Beek ,NED,4,127,7,8.28
DS Airee ,NEP,3,49,6,5.15
Mehran Khan ,OMA,4,61,6,7.62
PW Hasaranga ,SL,3,79,6,6.97
OEG Baartman ,SA,5,94,6,4.94
SN Netravalkar ,USA,6,125,6,6.63
D Heyliger ,CAN,3,55,5,5
BJ McCarthy ,IRE,3,57,5,5.51
B Masaba ,UGA,4,69,5,5.75
Naseem Shah ,PAK,3,71,5,5.91
D Wiese ,NAM,4,79,5,7.77
BTJ Wheal ,SCOT,4,80,5,6.85
PA van Meekeren ,NED,4,84,5,5.6
C Kyewuta ,UGA,4,97,5,7.36
AR Patel ,IND,6,101,5,7.21
TJG Pringle ,NED,4,101,5,7.76
Shaheen Shah Afridi ,PAK,4,105,5,6.56
MA Starc ,AUS,5,154,5,8.55
K Bhurtel ,NEP,3,41,4,5.12
AR Ramjani ,UGA,4,66,4,6
A Nao ,PNG,4,73,4,5.61
NT Ellis ,AUS,3,74,4,6.72
MJ Santner ,NZ,4,76,4,5.56
MG Erasmus ,NAM,4,81,4,7.36
SM Sharif ,SCOT,2,82,4,10.25
Bilal Khan ,OMA,4,109,4,8.95
Harmeet Singh ,USA,6,139,4,8.68
JR Hazlewood ,AUS,6,145,4,6.04
Sompal Kami ,NEP,3,34,3,3.77
A Dutt ,NED,2,40,3,5.71
A Vala ,PNG,4,42,3,6
N Vanua ,PNG,3,43,3,5.37
Imad Wasim ,PAK,3,44,3,4
OC McCoy ,WI,3,49,3,7.94
M Pathirana ,SL,3,51,3,5.1
LS Livingstone ,ENG,7,59,3,8.42
BM Scholtz ,NAM,4,64,3,6.4
MM Ali ,ENG,7,73,3,8.11
MR Adair ,IRE,3,74,3,6.16
JOA Gordon ,CAN,3,77,3,7.33
VJ Kingma ,NED,4,78,3,6
Mohammad Nabi ,AFG,7,88,3,6.76
NP Kenjige ,USA,4,89,3,8.9
MRJ Watt ,SCOT,4,98,3,8.16
GJ Maxwell ,AUS,7,103,3,8.58
MA Wood ,ENG,5,113,3,8.69
BFW de Leede ,NED,4,119,3,8.6
Shakib Al Hasan ,BAN,7,130,3,7.5
M Jansen ,SA,7,148,3,6.12
Ali Khan ,USA,6,181,3,9.36
R Ravindra ,NZ,3,9,2,3
BJ Currie ,SCOT,2,16,2,4
B White ,IRE,2,17,2,5.66
RK Paudel ,NEP,3,20,2,5
MD Shanaka ,SL,3,27,2,5.4
IS Sodhi ,NZ,1,29,2,7.9
CN Greaves ,SCOT,4,30,2,6
CA Young ,IRE,1,32,2,8
F Nsubuga ,UGA,2,33,2,4.71
KV Morea ,PNG,2,34,2,6.37
S Lamichhane ,NEP,2,35,2,4.37
MJ Henry ,NZ,1,37,2,9.25
C Campher ,IRE,3,39,2,5.57
SI Kamea ,PNG,2,39,2,6.5
AK Markram ,SA,7,53,2,6.62
J Miyagi ,UGA,3,56,2,6
